Time / ns,TotEng / Kcal mole⁻¹,KinEng / Kcal mole⁻¹,PotEng / Kcal mole⁻¹,Enthalpy / Kcal mole⁻¹,Temp / K,Press / atm,Volume / Å³,Density / g cm⁻¹
0.0,1082195.2,0.0,1082195.2,2681988.6,0.0,1187880.3,92345.414,0.97759729
0.005,-33681.328,0.0,-33681.328,-35123.863,0.0,-1071.1126,92345.414,0.97759729
0.01,-33793.788,0.0,-33793.788,-35252.133,0.0,-1082.8517,92345.414,0.97759729
0.01218,-33801.647,0.0,-33801.647,-35247.899,0.0,-1073.8726,92345.414,0.97759729
0.00141,-31304.765,1249.1107,-32553.876,-31993.657,138.80449,-511.51635,92345.414,0.97759729
0.00391,-30499.38,1681.0462,-32180.426,-31106.511,186.80231,-450.80747,92345.414,0.97759729
0.00641,-29874.101,1970.6301,-31844.731,-30598.292,218.98163,-537.72712,92345.414,0.97759729
0.00891,-29586.438,2078.1612,-31664.6,-30508.828,230.93078,-684.89354,92345.414,0.97759729
0.01141,-29563.221,2062.33,-31625.551,-30572.182,229.17158,-749.175,92345.414,0.97759729
0.01391,-29492.566,2128.5613,-31621.127,-30675.583,236.53137,-878.41526,92345.414,0.97759729
0.01641,-29421.904,2110.0032,-31531.907,-30690.33,234.46915,-941.8334,92345.414,0.97759729
0.01891,-29505.694,2065.5114,-31571.205,-30826.027,229.5251,-980.37554,92345.414,0.97759729
0.02141,-29491.784,1998.6743,-31490.458,-30738.162,222.09798,-925.46239,92345.414,0.97759729
0.02391,-29424.718,2057.3606,-31482.078,-31079.722,228.61936,-1228.8753,92345.414,0.97759729
0.02641,-29417.59,2092.0254,-31509.615,-31247.535,232.4714,-1358.7732,92345.414,0.97759729
0.02891,-29543.684,2053.4207,-31597.105,-30829.316,228.18155,-954.60912,92345.414,0.97759729
0.03141,-29514.412,2048.43,-31562.842,-30677.79,227.62697,-863.83247,92345.414,0.97759729
0.03391,-29458.634,2103.6325,-31562.266,-30897.704,233.76122,-1068.5401,92345.414,0.97759729
0.03641,-29521.823,2064.492,-31586.315,-30692.475,229.41182,-869.23354,92345.414,0.97759729
0.03891,-29542.6,2067.3527,-31609.952,-30762.415,229.72971,-905.73824,92345.414,0.97759729
0.04141,-29565.985,2074.3563,-31640.341,-30610.89,230.50796,-775.86391,92345.414,0.97759729
0.04391,-29625.118,2126.7138,-31751.832,-30716.639,236.32608,-810.47724,92345.414,0.97759729
0.04641,-29660.272,2075.4376,-31735.71,-30736.185,230.62812,-798.88798,92345.414,0.97759729
0.04891,-29570.304,2054.8064,-31625.111,-30141.473,228.33553,-424.10453,92345.414,0.97759729
0.05141,-29613.669,2067.6717,-31681.341,-30268.673,229.76515,-486.35446,92345.414,0.97759729
0.05391,-29614.701,2076.7851,-31691.486,-30795.72,230.77786,-876.93176,92345.414,0.97759729
0.05641,-29459.565,2097.3838,-31556.949,-30389.451,233.06684,-690.45987,92345.414,0.97759729
0.05891,-29420.17,2093.788,-31513.958,-30479.263,232.66727,-786.39895,92345.414,0.97759729
0.06141,-29522.161,2073.2811,-31595.442,-30882.52,230.38849,-1010.095,92345.414,0.97759729
0.06391,-29356.271,2061.7389,-31418.01,-30602.786,229.10589,-925.56391,92345.414,0.97759729
0.06641,-29514.888,2067.3234,-31582.211,-30443.877,229.72645,-689.79436,92345.414,0.97759729
0.06891,-29488.928,2065.1695,-31554.098,-30600.368,229.4871,-825.26754,92345.414,0.97759729
0.07141,-29600.976,1993.2634,-31594.24,-30517.873,221.49671,-680.81519,92345.414,0.97759729
0.07391,-29565.845,2060.1612,-31626.006,-30785.586,228.93057,-905.68314,92345.414,0.97759729
0.07641,-29509.403,2054.4103,-31563.813,-30880.772,228.29151,-1018.2703,92345.414,0.97759729
0.07891,-29494.937,2076.9582,-31571.895,-30727.385,230.7971,-915.11892,92345.414,0.97759729
0.08141,-29576.781,2076.6751,-31653.456,-30788.606,230.76564,-899.80562,92345.414,0.97759729
0.08391,-29570.032,2076.4816,-31646.513,-30911.283,230.74414,-995.90767,92345.414,0.97759729
0.08641,-29433.531,2115.5292,-31549.061,-30521.291,235.08321,-807.68425,92345.414,0.97759729
0.08891,-29465.267,2098.8333,-31564.101,-30671.259,233.22792,-895.47381,92345.414,0.97759729
0.09141,-29548.958,2095.3409,-31644.299,-31071.199,232.83984,-1130.2961,92345.414,0.97759729
0.09391,-29523.433,2023.4053,-31546.838,-30605.066,224.84615,-803.13544,92345.414,0.97759729
0.09641,-29551.462,2045.1231,-31596.585,-30688.895,227.2595,-844.56796,92345.414,0.97759729
0.09891,-29512.234,2069.9648,-31582.199,-30622.298,230.01997,-824.24599,92345.414,0.97759729
0.10141,-29437.323,2065.1127,-31502.435,-30714.757,229.48079,-948.52218,92345.414,0.97759729
0.10391,-29514.539,1987.6046,-31502.143,-30688.576,220.86788,-871.7472,92345.414,0.97759729
0.10641,-29405.748,2097.0871,-31502.836,-30832.571,233.03387,-1059.4455,92345.414,0.97759729
0.10891,-29538.313,2052.2451,-31590.558,-30357.505,228.05092,-608.26744,92345.414,0.97759729
0.11141,-29422.522,2095.8668,-31518.389,-30489.861,232.89827,-792.52149,92345.414,0.97759729
0.11391,-29609.605,2016.9209,-31626.526,-30710.565,224.1256,-817.48607,92345.414,0.97759729
0.11641,-29491.162,2081.8687,-31573.03,-30540.351,231.34277,-779.04492,92345.414,0.97759729
0.11891,-29542.619,2049.1921,-31591.811,-30304.647,227.71165,-565.82184,92345.414,0.97759729
0.12141,-29458.443,2120.1175,-31578.56,-31165.367,235.59307,-1267.4271,92345.414,0.97759729
0.12391,-29538.078,2057.5906,-31595.668,-30822.544,228.64491,-953.74304,92345.414,0.97759729
0.125,-29418.899,2072.3431,-31491.242,-30600.784,230.28425,-877.57471,92345.414,0.97759729
0.39,-29566.669,2061.3666,-31628.036,-30694.788,229.06452,-837.65247,92345.414,0.97759729
0.395,-29425.609,2104.7402,-31530.349,-30787.126,233.8843,-1010.9555,92345.414,0.97759729
0.4,-29454.346,2117.2953,-31571.641,-30165.371,235.27946,-527.95087,92345.414,0.97759729
0.405,-29512.561,2050.3705,-31562.932,-30402.419,227.8426,-660.73847,92345.414,0.97759729
0.41,-29495.063,2065.3448,-31560.408,-30303.587,229.50658,-600.34615,92345.414,0.97759729
0.415,-29424.337,2049.6825,-31474.019,-31100.111,227.76615,-1244.2972,92345.414,0.97759729
0.42,-29553.899,2012.6642,-31566.563,-30754.981,223.65258,-891.82889,92345.414,0.97759729
0.425,-29335.584,2084.7934,-31420.377,-30453.201,231.66777,-829.85465,92345.414,0.97759729
0.43,-29426.455,2044.4389,-31470.894,-30848.265,227.18347,-1055.7241,92345.414,0.97759729
0.435,-29562.952,2092.315,-31655.267,-30708.5,232.50359,-850.59306,92345.414,0.97759729
0.44,-29529.367,2043.6261,-31572.993,-30238.751,227.09315,-526.73297,92345.414,0.97759729
0.445,-29532.635,2056.5481,-31589.183,-30775.982,228.52907,-923.21087,92345.414,0.97759729
0.45,-29332.693,2078.5709,-31411.264,-30798.12,230.9763,-1088.1099,92345.414,0.97759729
0.455,-29381.201,2121.0238,-31502.225,-30801.835,235.69378,-1054.8507,92345.414,0.97759729
0.46,-29419.639,2125.1643,-31544.803,-30286.778,236.15388,-643.86922,92345.414,0.97759729
0.465,-29374.033,2085.0511,-31459.084,-30773.355,231.69641,-1039.0259,92345.414,0.97759729
0.47,-29456.659,2074.2192,-31530.878,-30224.743,230.49273,-570.31908,92345.414,0.97759729
0.475,-29435.237,2099.6248,-31534.862,-30556.18,233.31586,-832.32366,92345.414,0.97759729
0.48,-29512.544,2064.2955,-31576.84,-30521.521,229.38998,-749.18665,92345.414,0.97759729
0.485,-29506.852,2037.5788,-31544.431,-31170.999,226.42115,-1235.664,92345.414,0.97759729
0.49,-29502.28,2049.4243,-31551.704,-30593.721,227.73746,-810.41804,92345.414,0.97759729
0.495,-29444.212,2070.425,-31514.637,-30515.377,230.07111,-795.36271,92345.414,0.97759729
0.5,-29563.707,2013.428,-31577.135,-31209.257,223.73745,-1221.8557,92345.414,0.97759729
0.505,-29514.173,2079.7237,-31593.896,-30698.703,231.1044,-879.53845,92345.414,0.97759729
0.51,-29431.631,2051.1065,-31482.737,-30612.834,227.92438,-877.06831,92345.414,0.97759729
0.515,-29460.81,2073.6554,-31534.466,-30937.299,230.43008,-1096.3241,92345.414,0.97759729
0.52,-29444.583,2098.1538,-31542.737,-30544.627,233.15241,-816.8061,92345.414,0.97759729
0.525,-29450.614,2077.9678,-31528.582,-30718.34,230.90929,-941.313,92345.414,0.97759729
0.53,-29382.392,2059.9981,-31442.39,-30578.307,228.91245,-887.99204,92345.414,0.97759729
0.535,-29442.282,2062.8737,-31505.156,-30795.592,229.23199,-1004.8613,92345.414,0.97759729
0.54,-29471.312,2075.1291,-31546.441,-31183.596,230.59385,-1271.4069,92345.414,0.97759729
0.545,-29407.857,2057.4009,-31465.258,-30725.15,228.62384,-978.11723,92345.414,0.97759729
0.55,-29545.288,2029.0664,-31574.354,-30514.579,225.47524,-719.71933,92345.414,0.97759729
0.555,-29554.905,1998.9423,-31553.847,-31055.904,222.12776,-1114.5235,92345.414,0.97759729
0.56,-29529.512,2098.4908,-31628.003,-30931.373,233.18986,-1040.9114,92345.414,0.97759729
0.565,-29532.824,2017.5176,-31550.342,-31097.926,224.1919,-1162.1207,92345.414,0.97759729
0.57,-29562.391,2052.5672,-31614.958,-30022.777,228.0867,-341.84678,92345.414,0.97759729
0.575,-29425.518,2078.5292,-31504.047,-30289.046,230.97166,-641.18759,92345.414,0.97759729
0.58,-29488.176,2046.3285,-31534.505,-30756.033,227.39344,-941.41028,92345.414,0.97759729
